name,SMILES,CAS,Tc,Pc,Vc,omega,dipole,MW
1-Propanol,CCCO,71-23-8,536.8,5169000,0.000218,0.624,1.55,60.09502
2-Methyl-1-Propanol,CC(C)CO,78-83-1,547.8,4295000,0.000274,0.588,1.64,74.1216
Alpha-Pinene,CC1=CCC2CC1C2(C)C,80-56-8,630,2887763,0.0004845,0.3228,0,136.23404
Di-N-Propyl Ether,CCCOCCC,111-43-3,530.6,3028000,0.000402,0.3585,1.21,102.17476
N-Dodecane,CCCCCCCCCCCC,112-40-3,658.1,1817000,0.00075188,0.574,0,170.34
N-Tetradecane,CCCCCCCCCCCCCC,629-59-4,693,1570000,0.000894,0.679,0,198.394
"1,5-Dimethyl-2-Pyrrolidinone",CC1CCC(=O)N1C,5075-92-3,634.45796,3877117.1,0.0003455,1.3040184,0,113.15764
1-Ethylpyrrolidin-2-One,CCN1CCCC1=O,2687-91-4,639.52778,4041499.7,0.0003465,7.16E-07,0,113.15764
1-Pentanol,CCCCCO,71-41-0,588.1,3897000,0.000326,0.58,1.700003598,88.14818
1-Phenyl-1-Butanone,CCCC(=O)C1=CC=CC=C1,495-40-9,776.41085,3283316.3,0.000466735,0.18200091,0,148.20168
2-Pyrrolidone,C1CC(=O)NC1,616-45-5,799,6342935,0.00025,0.4434,0,85.10448
Butanal,CCCC=O,123-72-8,537,4320000,0.000258,0.352,2.72,72.10572
Diethyl Phthalate,CCOC(=O)C1=CC=CC=C1C(=O)OCC,84-66-2,776,2200000,0.000687,0.7011,2.900013191,222.23716
Epsilon-Caprolactone,C1CCC(=O)OCC1,502-44-3,771,4630000,0.000352,0.442,0,114.1424
Ethyl Benzoate,CCOC(=O)C1=CC=CC=C1,93-89-0,700,3010000,0.00047,0.48,0,150.1745
Glutaronitrile,C(CC#N)CC#N,544-13-8,782,3150000,0.000352,0.603,0,94.11454
"N,N-Diethylacetamide",CCN(CC)C(=O)C,685-91-6,579.25436,3329682.9,0.0003955,1.8654432,0,115.17352
N-Ethylacetamide,CCNC(=O)C,625-50-3,579.87617,4294285.7,0.0003005,2.2778471,0,87.12036
N-Formylmorpholine,C1COCCN1C=O,4394-85-8,779,5080000,0.000326,0.393,0,115.13046
N-Methyl-2-Pyrrolidone,CN1CCCC1=O,872-50-4,721.8,4520000,0.000311,0.3577,0,99.13106
N-Methylformamide,CNC=O,123-39-7,725,7500076,0.00018,0.492,0,59.0672
N-Nonane,CCCCCCCCC,111-84-2,594.55,2281000,0.000552486,0.4433,0,128.259
